	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	unemployment	educ	experience	female	white	married	union
							
30.stfips	-1.803***	0.652***	0.230	0.118***	1.928***	0.154***	0.277***
	(0.160)	(0.0894)	(0.248)	(0.0282)	(0.176)	(0.0332)	(0.0583)
31.stfips	-3.241***	0.302***	0.580***	0.201***	1.184***	0.248***	-0.0994***
	(0.0222)	(0.00650)	(0.0115)	(0.00187)	(0.0109)	(0.00212)	(0.00427)
32.stfips	0.226***	0.0737***	0.860***	-0.126***	-0.168***	-0.0523***	0.788***
	(0.0181)	(0.00595)	(0.0117)	(0.00171)	(0.00670)	(0.00184)	(0.00548)
33.stfips	-3.132***	0.430***	1.306***	0.0757***	2.386***	0.0884***	-0.0904
	(0.163)	(0.0911)	(0.248)	(0.0286)	(0.177)	(0.0338)	(0.0599)
34.stfips	-1.378***	0.175**	1.214***	0.00241	0.349**	-0.0594*	0.590***
	(0.152)	(0.0806)	(0.239)	(0.0277)	(0.165)	(0.0317)	(0.0548)
35.stfips	-0.689***	0.0596	-0.425*	-0.0197	-0.950***	-0.0897***	-0.324***
	(0.160)	(0.0883)	(0.247)	(0.0281)	(0.170)	(0.0329)	(0.0574)
36.stfips	-1.007***	0.268***	0.740***	0.0853***	0.599***	-0.137***	0.836***
	(0.153)	(0.0828)	(0.240)	(0.0278)	(0.168)	(0.0321)	(0.0561)
37.stfips	-1.173***	-0.248***	1.426***	0.0896***	-0.0781***	-0.0136***	-1.081***
	(0.0201)	(0.00994)	(0.0218)	(0.00273)	(0.0136)	(0.00301)	(0.00538)
38.stfips	-3.043***	0.630***	-0.554***	0.222***	1.868***	0.0798***	-0.564***
	(0.0167)	(0.00524)	(0.00976)	(0.00160)	(0.0111)	(0.00158)	(0.00324)
39.stfips	-0.827***	0.264***	0.579**	-0.0365	1.309***	0.0850***	0.487***
	(0.154)	(0.0837)	(0.241)	(0.0278)	(0.170)	(0.0323)	(0.0563)
40.stfips	-1.862***	0.0912**	-0.295***	-0.0404***	0.381***	0.0691***	-0.272***
	(0.0718)	(0.0396)	(0.110)	(0.0127)	(0.0686)	(0.0144)	(0.0331)
41.stfips	-0.621***	0.370***	0.234	-0.104***	1.115***	0.122***	0.502***
	(0.162)	(0.0903)	(0.249)	(0.0284)	(0.176)	(0.0334)	(0.0595)
42.stfips	-1.161***	0.191**	0.910***	0.0162	1.700***	0.115***	0.343***
	(0.154)	(0.0836)	(0.241)	(0.0278)	(0.170)	(0.0324)	(0.0561)
44.stfips	-0.712***	-0.0826	1.345***	0.135***	1.125***	-0.0691**	0.402***
	(0.158)	(0.0866)	(0.244)	(0.0281)	(0.172)	(0.0330)	(0.0584)
45.stfips	-0.346***	-0.125***	0.836***	0.0501***	-0.114***	-0.0273***	-1.018***
	(0.0148)	(0.00205)	(0.00941)	(0.00110)	(0.00347)	(0.00153)	(0.00183)
46.stfips	-3.166***	0.532***	0.194***	0.215***	2.013***	0.199***	-0.530***
	(0.0255)	(0.00648)	(0.0131)	(0.00192)	(0.0118)	(0.00228)	(0.00411)
47.stfips	-0.551***	-0.143***	0.447***	0.00600***	0.702***	0.0885***	-0.151***
	(0.00713)	(0.00144)	(0.00498)	(0.000694)	(0.00489)	(0.000969)	(0.00112)
48.stfips	-0.766***	-0.455***	0.324***	-0.0660***	-0.852***	0.0112	-0.599***
	(0.0454)	(0.0246)	(0.0633)	(0.00717)	(0.0431)	(0.00843)	(0.0223)
49.stfips	-2.131***	0.490***	-2.633***	0.0235***	1.119***	0.349***	-0.155***
	(0.0131)	(0.00536)	(0.0103)	(0.00134)	(0.0106)	(0.00185)	(0.00316)
50.stfips	-3.081***	0.432***	1.880***	0.0593**	3.019***	0.126***	-0.150**
	(0.159)	(0.0879)	(0.245)	(0.0283)	(0.175)	(0.0331)	(0.0582)
51.stfips	-2.095***	-0.0417***	0.319***	0.0435***	0.0467***	-0.0298***	-0.291***
	(0.0149)	(0.00190)	(0.00694)	(0.000920)	(0.00247)	(0.00138)	(0.00119)
53.stfips	-0.978***	0.443***	-0.0957	-0.125***	0.847***	0.111***	0.890***
	(0.163)	(0.0912)	(0.248)	(0.0284)	(0.176)	(0.0337)	(0.0604)
54.stfips	0.512***	-0.0417	1.050***	-0.178***	2.105***	0.273***	0.179***
	(0.159)	(0.0871)	(0.246)	(0.0279)	(0.174)	(0.0329)	(0.0575)
55.stfips	-1.929***	0.426***	0.407*	-0.000824	1.696***	0.166***	0.340***
	(0.133)	(0.0728)	(0.203)	(0.0233)	(0.137)	(0.0273)	(0.0510)
56.stfips	-1.842***	0.413***	0.397***	-0.115***	1.462***	0.205***	-0.158***
	(0.0329)	(0.0113)	(0.0192)	(0.00298)	(0.0162)	(0.00328)	(0.00728)
Constant	7.262***	13.09***	23.02***	0.469***	0.936***	0.609***	-0.977***
	(0.157)	(0.0861)	(0.243)	(0.0441)	(0.152)	(0.0353)	(0.0539)
							
Observations	274,794	274,794	274,794	274,794	274,794	274,794	274,794
R-squared	0.793	0.075	0.009				
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
