	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	No Macro Controls	Macro Controls	No Year FE	No Macro Controls	Macro Controls	No Year FE
						
	(0.00715)	(0.00687)	(0.00686)	(0.00544)	(0.0144)	(0.00813)
27.stfips	-0.165***	0.0709**	-0.0331	-0.104***	-0.0844***	-0.0387***
	(0.00763)	(0.0332)	(0.0231)	(0.00642)	(0.0160)	(0.00790)
28.stfips	0.0716***	0.0318***	0.0478***	0.126***	0.111***	0.0758***
	(0.00522)	(0.00735)	(0.00640)	(0.00381)	(0.0111)	(0.00552)
29.stfips	-0.148***	-0.0121	-0.0732***	-0.0709***	-0.0670***	-0.0600***
	(0.00411)	(0.0193)	(0.0124)	(0.00499)	(0.00638)	(0.00512)
30.stfips	-0.0199**	0.0624***	0.0302**	-0.150***	-0.133***	-0.0839***
	(0.00805)	(0.0150)	(0.0123)	(0.00889)	(0.0174)	(0.0114)
31.stfips	-0.160***	0.183***	0.0332	-0.130***	-0.0890***	0.0184
	(0.00648)	(0.0464)	(0.0313)	(0.00459)	(0.0291)	(0.0131)
32.stfips	-0.00807	0.124***	0.0685***	-0.0962***	-0.120***	-0.193***
	(0.0145)	(0.0235)	(0.0193)	(0.0127)	(0.0175)	(0.0159)
33.stfips	-0.192***	0.0782**	-0.0401	-0.0454***	-0.0152	0.0663***
	(0.00660)	(0.0371)	(0.0258)	(0.00605)	(0.0232)	(0.0109)
34.stfips	-0.105***	0.0398*	-0.0206	0.175***	0.171***	0.159***
	(0.00704)	(0.0227)	(0.0162)	(0.00645)	(0.00621)	(0.00723)
35.stfips	-0.0905***	-0.0719***	-0.0798***	0.0611***	0.0588***	0.0474***
	(0.00684)	(0.00792)	(0.00749)	(0.00705)	(0.00712)	(0.00660)
36.stfips	-0.0169**	0.0723***	0.0300**	0.0869***	0.0842***	0.0736***
	(0.00693)	(0.0151)	(0.0117)	(0.00655)	(0.00636)	(0.00691)
37.stfips	-0.204***	0.0182	-0.0742***	0.0539***	0.0438***	0.0119***
	(0.00481)	(0.0313)	(0.0200)	(0.00276)	(0.00691)	(0.00425)
38.stfips	-0.0174**	0.242***	0.135***	-0.185***	-0.140***	-0.0202
	(0.00836)	(0.0359)	(0.0255)	(0.00601)	(0.0336)	(0.0162)
39.stfips	-0.134***	-0.0571***	-0.0877***	-0.0203***	-0.0262***	-0.0462***
	(0.00618)	(0.0136)	(0.0105)	(0.00493)	(0.00540)	(0.00497)
40.stfips	0.0880***	0.240***	0.174***	0.161***	0.182***	0.240***
	(0.00469)	(0.0210)	(0.0152)	(0.00335)	(0.0159)	(0.00797)
41.stfips	-0.114***	-0.0399***	-0.0737***	-0.124***	-0.135***	-0.165***
	(0.00691)	(0.0135)	(0.0105)	(0.00690)	(0.00790)	(0.00771)
42.stfips	-0.0948***	0.000194	-0.0380***	-0.00786	-0.00657	-0.00416
	(0.00621)	(0.0157)	(0.0120)	(0.00557)	(0.00590)	(0.00587)
44.stfips	-0.00603	0.147***	0.0827***	0.0508***	0.0332***	-0.0218***
	(0.00563)	(0.0219)	(0.0155)	(0.00661)	(0.0123)	(0.00831)
45.stfips	-0.0828***	0.0620***	-0.000921	-0.104***	-0.117***	-0.162***
	(0.00444)	(0.0206)	(0.0130)	(0.00323)	(0.00940)	(0.00611)
46.stfips	-0.212***	0.0932**	-0.0361	-0.111***	-0.0680**	0.0441***
	(0.00694)	(0.0417)	(0.0287)	(0.00546)	(0.0309)	(0.0139)
47.stfips	-0.0362***	0.0697***	0.0244**	-0.0583***	-0.0592***	-0.0608***
	(0.00350)	(0.0146)	(0.00993)	(0.00408)	(0.00391)	(0.00344)
48.stfips	0.0565***	0.122***	0.0944***	0.0934***	0.0992***	0.115***
	(0.00473)	(0.0108)	(0.00825)	(0.00541)	(0.00697)	(0.00542)
49.stfips	-0.0218***	0.197***	0.0994***	-0.00310	0.0232	0.0991***
	(0.00625)	(0.0307)	(0.0213)	(0.00522)	(0.0201)	(0.0106)
50.stfips	-0.0783***	0.172***	0.0620***	-0.132***	-0.101***	-0.0177
	(0.00675)	(0.0344)	(0.0236)	(0.00700)	(0.0245)	(0.0120)
51.stfips	-0.0783***	0.166***	0.0596***	0.0909***	0.113***	0.173***
	(0.00302)	(0.0331)	(0.0214)	(0.00345)	(0.0169)	(0.00747)
53.stfips	-0.0249***	0.0408***	0.0142	0.0289***	0.0268***	0.0147*
	(0.00895)	(0.0142)	(0.0117)	(0.00787)	(0.00766)	(0.00827)
54.stfips	-0.0170**	-0.212***	-0.120***	-0.0557***	-0.0607***	-0.0699***
	(0.00778)	(0.0263)	(0.0154)	(0.00901)	(0.00876)	(0.00790)
55.stfips	-0.174***	0.0303	-0.0569***	0.0145***	0.0247***	0.0533***
	(0.00652)	(0.0288)	(0.0196)	(0.00549)	(0.00937)	(0.00526)
56.stfips	0.209***	0.344***	0.286***	-0.0708***	-0.0456**	0.0191
	(0.0135)	(0.0225)	(0.0201)	(0.00938)	(0.0202)	(0.0131)
2001.year				0.0248	0.0139	
				(0.0580)	(0.0579)	
2002.year				0.162**	0.136*	
				(0.0708)	(0.0758)	
2003.year				0.225***	0.195***	
				(0.0461)	(0.0515)	
2004.year				0.275***	0.251***	
				(0.0663)	(0.0689)	
2005.year				0.162***	0.144***	
				(0.0506)	(0.0508)	
2006.year				0.0461	0.0346	
				(0.0539)	(0.0537)	
2007.year				0.0367	0.0257	
				(0.0611)	(0.0620)	
2008.year				0.0263	-0.000282	
				(0.0603)	(0.0612)	
2009.year				0.263***	0.186**	
				(0.0544)	(0.0742)	
2010.year				0.450***	0.369***	
				(0.0562)	(0.0860)	
2011.year				0.472***	0.401***	
				(0.0527)	(0.0745)	
2012.year				0.430***	0.373***	
				(0.0575)	(0.0694)	
2013.year				0.399***	0.351***	
				(0.0572)	(0.0655)	
2014.year				0.320***	0.289***	
				(0.0527)	(0.0590)	
2015.year				0.302***	0.284***	
				(0.0680)	(0.0705)	
2016.year				0.236***	0.222***	
				(0.0651)	(0.0656)	
2017.year				0.237***	0.231***	
				(0.0696)	(0.0692)	
2018.year				0.181**	0.182**	
				(0.0777)	(0.0772)	
2019.year				0.145*	0.149**	
				(0.0766)	(0.0758)	
2020.year				0.203***	0.143	
				(0.0754)	(0.0924)	
2021.year				0.178**	0.160**	
				(0.0769)	(0.0800)	
2022.year				0.0131	0.0190	
				(0.0659)	(0.0653)	
2023.year				-0.0208	-0.0143	
				(0.0640)	(0.0640)	
unemployment		0.0822***	0.0455***		0.0158	0.0594***
		(0.0107)	(0.00696)		(0.0107)	(0.00480)
23o.occ	-	-	-			
						
1984.year	0.0260	0.193***				
	(0.0410)	(0.0441)				
1985.year	0.0544	0.252***				
	(0.0563)	(0.0575)				
1986.year	-0.0511	0.168***				
	(0.0571)	(0.0591)				
1987.year	0.147***	0.431***				
	(0.0541)	(0.0558)				
1988.year	0.0919*	0.430***				
	(0.0494)	(0.0576)				
1989.year	-0.00340	0.353***				
	(0.0520)	(0.0556)				
1990.year	-0.0842*	0.245***				
	(0.0508)	(0.0505)				
1991.year	-0.130**	0.104*				
	(0.0600)	(0.0572)				
1992.year	0.104*	0.296***				
	(0.0550)	(0.0568)				
1993.year	0.0666	0.313***				
	(0.0524)	(0.0531)				
