	(1)	(2)	(3)	(4)
	(0.00649)	(0.00688)	(0.00646)	(0.00658)
36.stfips	-0.0699***	-0.0212**	0.0860***	0.0673***
	(0.00625)	(0.0106)	(0.00701)	(0.00707)
37.stfips	-0.233***	-0.108***	0.0565***	0.00829*
	(0.00410)	(0.0209)	(0.00238)	(0.00438)
38.stfips	-0.0451***	0.109***	-0.188***	-0.0284*
	(0.00797)	(0.0256)	(0.00654)	(0.0161)
39.stfips	-0.168***	-0.123***	-0.0189***	-0.0518***
	(0.00532)	(0.00942)	(0.00499)	(0.00510)
40.stfips	0.0564***	0.145***	0.161***	0.237***
	(0.00429)	(0.0150)	(0.00376)	(0.00798)
41.stfips	-0.151***	-0.108***	-0.118***	-0.176***
	(0.00592)	(0.00916)	(0.00699)	(0.00780)
42.stfips	-0.130***	-0.0722***	-0.00592	-0.0117**
	(0.00567)	(0.0113)	(0.00582)	(0.00582)
44.stfips	-0.0418***	0.0445***	0.0597***	-0.0323***
	(0.00529)	(0.0154)	(0.00557)	(0.00834)
45.stfips	-0.104***	-0.0229*	-0.0945***	-0.165***
	(0.00408)	(0.0137)	(0.00183)	(0.00616)
46.stfips	-0.251***	-0.0739**	-0.0988***	0.0382***
	(0.00700)	(0.0295)	(0.00511)	(0.0138)
47.stfips	-0.0610***	0.000207	-0.0533***	-0.0635***
	(0.00314)	(0.0107)	(0.00365)	(0.00357)
48.stfips	0.0231***	0.0645***	0.104***	0.112***
	(0.00492)	(0.00845)	(0.00534)	(0.00548)
49.stfips	-0.0790***	0.0487**	-0.00118	0.0916***
	(0.00639)	(0.0212)	(0.00541)	(0.0107)
50.stfips	-0.0966***	0.0456*	-0.123***	-0.0293**
	(0.00653)	(0.0237)	(0.00704)	(0.0117)
51.stfips	-0.106***	0.0289	0.0994***	0.167***
	(0.00305)	(0.0220)	(0.00400)	(0.00746)
53.stfips	-0.0807***	-0.0395***	0.0254***	0.00239
	(0.00690)	(0.00951)	(0.00817)	(0.00820)
54.stfips	-0.0399***	-0.141***	-0.0533***	-0.0683***
	(0.00742)	(0.0165)	(0.00794)	(0.00787)
55.stfips	-0.212***	-0.0953***	0.0284***	0.0446***
	(0.00599)	(0.0194)	(0.00469)	(0.00516)
56.stfips	0.204***	0.291***	-0.0686***	0.0108
	(0.0135)	(0.0202)	(0.0104)	(0.0132)
19.occ			-0.0471	-0.0495
			(0.0563)	(0.0562)
23.occ			-0.0660	-0.0651
			(0.0448)	(0.0449)
Constant	-1.221***	-1.572***	-1.373***	-1.672***
	(0.145)	(0.158)	(0.106)	(0.117)
				
Observations	111,186	111,186	163,607	163,607
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
