	(1)	(2)	(3)
46.stfips	-0.196***	0.0536	-0.0123
	(0.00618)	(0.0392)	(0.0303)
47.stfips	-0.0620***	0.0179	-0.00364
	(0.00332)	(0.0126)	(0.0102)
48.stfips	0.0386***	0.0797***	0.0672***
	(0.00460)	(0.00840)	(0.00724)
49.stfips	-0.0335***	0.129***	0.0825***
	(0.00553)	(0.0255)	(0.0196)
50.stfips	-0.126***	0.0788**	0.0222
	(0.00636)	(0.0318)	(0.0243)
51.stfips	-0.0643***	0.134***	0.0758***
	(0.00351)	(0.0303)	(0.0237)
53.stfips	0.0408***	0.0721***	0.0659***
	(0.00655)	(0.00886)	(0.00756)
54.stfips	0.0315***	-0.114***	-0.0668***
	(0.00679)	(0.0224)	(0.0164)
55.stfips	-0.140***	0.0115	-0.0266
	(0.00547)	(0.0242)	(0.0182)
56.stfips	0.128***	0.259***	0.225***
	(0.0112)	(0.0233)	(0.0203)
1984.year	0.0463	0.195***	
	(0.0409)	(0.0455)	
1985.year	0.0616	0.238***	
	(0.0564)	(0.0608)	
1986.year	-0.0622	0.134**	
	(0.0563)	(0.0624)	
1987.year	0.157***	0.410***	
	(0.0543)	(0.0594)	
1988.year	0.107**	0.410***	
	(0.0507)	(0.0635)	
1989.year	0.0208	0.339***	
	(0.0510)	(0.0576)	
1990.year	-0.0506	0.243***	
	(0.0532)	(0.0577)	
1991.year	-0.115*	0.0926	
	(0.0611)	(0.0612)	
1992.year	0.103*	0.274***	
	(0.0554)	(0.0578)	
1993.year	0.0612	0.281***	
	(0.0518)	(0.0560)	
1994.year	-0.0951	-0.121**	
	(0.0629)	(0.0616)	
1995.year	-0.144**	-0.134*	
	(0.0688)	(0.0707)	
1996.year	-0.0900	-0.0955*	
	(0.0577)	(0.0574)	
1997.year	-0.334***	-0.253**	
	(0.127)	(0.127)	
1998.year	-0.422***	-0.309**	
	(0.136)	(0.138)	
1999.year	-0.313***	-0.205**	
	(0.0887)	(0.0897)	
2000.year	-0.148***	-0.0646	
	(0.0481)	(0.0516)	
2001.year	-0.244***	-0.187***	
	(0.0598)	(0.0609)	
2002.year	-0.318**	-0.290**	
	(0.145)	(0.145)	
2003.year	-0.129	-0.144*	
	(0.0818)	(0.0815)	
2004o.year	-	-	
			
2005o.year	-	-	
			
inflation			-0.000102
			(0.0111)
productivity_growth			-0.0236***
			(0.00709)
Constant	-1.907***	-2.702***	-2.262***
	(0.103)	(0.142)	(0.112)
			
Observations	141,446	141,446	141,446
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
