	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	unemployment	educ	experience	female	white	married	union
							
	(0.0281)	(0.0137)	(0.0441)	(0.00568)	(0.00893)	(0.00629)	(0.00703)
36.stfips	-1.107***	0.698***	-0.891***	-0.0280***	1.146***	-0.285***	0.842***
	(0.00777)	(0.00641)	(0.0303)	(0.00541)	(0.00716)	(0.00394)	(0.00584)
37.stfips	-2.435***	-0.147***	-0.131**	0.139***	-0.0417***	-0.220***	-1.526***
	(0.0246)	(0.00967)	(0.0496)	(0.00884)	(0.0141)	(0.00720)	(0.00948)
38.stfips	-3.102***	1.134***	-3.006***	-0.157***	2.459***	-0.110***	-0.353***
	(0.0347)	(0.0111)	(0.0401)	(0.00490)	(0.0129)	(0.00611)	(0.00810)
39.stfips	-0.828***	0.879***	-1.543***	-0.146***	1.277***	-0.130***	0.722***
	(0.0145)	(0.00491)	(0.0310)	(0.00530)	(0.00609)	(0.00411)	(0.00478)
40.stfips	-1.862***	0.590***	-2.628***	-0.170***	0.759***	0.0918***	-0.328***
	(0.0119)	(0.00789)	(0.0293)	(0.00460)	(0.00686)	(0.00505)	(0.00667)
41.stfips	-0.584***	1.242***	-1.955***	-0.271***	1.438***	-0.0823***	0.594***
	(0.0198)	(0.0117)	(0.0427)	(0.00730)	(0.0120)	(0.00511)	(0.00643)
42.stfips	-1.082***	0.789***	-1.260***	-0.229***	2.172***	0.0412***	0.523***
	(0.0206)	(0.00632)	(0.0354)	(0.00554)	(0.00698)	(0.00447)	(0.00683)
44.stfips	-1.957***	-0.0851***	0.118***	0.235***	1.752***	-0.210***	-0.0245***
	(0.0133)	(0.0104)	(0.0433)	(0.00759)	(0.0106)	(0.00515)	(0.00512)
45.stfips	-1.519***	0.156***	-2.246***	0.0585***	-0.0404***	-0.141***	-1.602***
	(0.0134)	(0.00610)	(0.0324)	(0.00734)	(0.00860)	(0.00509)	(0.00681)
46.stfips	-3.671***	1.133***	-2.540***	0.134***	2.867***	-0.0726***	-0.593***
	(0.0126)	(0.00709)	(0.0311)	(0.00411)	(0.00874)	(0.00411)	(0.00490)
47.stfips	-1.147***	0.0853***	-1.490***	0.0500***	0.597***	-0.0772***	-0.224***
	(0.0144)	(0.00915)	(0.0383)	(0.00701)	(0.00915)	(0.00599)	(0.00666)
48.stfips	-0.815***	-0.0331***	-1.957***	-0.272***	-0.541***	0.0269***	-0.476***
	(0.0109)	(0.00830)	(0.0323)	(0.00361)	(0.00588)	(0.00360)	(0.00499)
49.stfips	-2.420***	1.289***	-4.223***	-0.0265***	1.163***	0.331***	-0.418***
	(0.0212)	(0.0123)	(0.0410)	(0.00551)	(0.0105)	(0.00671)	(0.00698)
50.stfips	-2.965***	0.824***	-1.566***	0.00210	3.491***	-0.0415***	-0.554***
	(0.0176)	(0.0122)	(0.0406)	(0.00594)	(0.0120)	(0.00527)	(0.00577)
51.stfips	-2.884***	0.359***	-0.991***	-0.0273***	0.159***	-0.194***	-0.218***
	(0.00893)	(0.00764)	(0.0362)	(0.00569)	(0.00784)	(0.00515)	(0.00546)
53.stfips	-0.602***	0.946***	-1.307***	-0.0958***	1.071***	-0.0656***	0.871***
	(0.0185)	(0.0111)	(0.0352)	(0.00555)	(0.0127)	(0.00578)	(0.0104)
54.stfips	2.085***	0.150***	0.0609	-0.863***	2.455***	0.601***	0.558***
	(0.0289)	(0.00941)	(0.0462)	(0.00493)	(0.00902)	(0.00618)	(0.0105)
55.stfips	-2.295***	1.040***	-1.652***	-0.102***	2.538***	-0.195***	0.607***
	(0.0216)	(0.00805)	(0.0326)	(0.00457)	(0.0112)	(0.00516)	(0.00625)
56.stfips	-1.946***	1.205***	-2.356***	-0.539***	1.872***	0.0888***	0.166***
	(0.0435)	(0.0163)	(0.0485)	(0.00820)	(0.0198)	(0.00908)	(0.0111)
o.post	-	-	-				
							
Constant	7.379***	11.30***	26.66***	-0.0702	0.341***	0.826***	-0.997***
	(0.0123)	(0.0281)	(0.140)	(0.0853)	(0.105)	(0.0874)	(0.104)
							
Observations	140,626	140,626	140,626	140,626	140,626	140,626	140,626
R-squared	0.776	0.086	0.012				
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
