DATE,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
1/1/62,246,3323,1853,1471,17072,1899,2647,788,469,5458,4086,684,2750,692,10280,4736,2231,3079,3345,5263,3263,994,7933,3513,4357,2243,698,4707,637,1464,632,6376,979,352,17301,9929,2427,1818,11355,871,2423,705,3673,10053,958,4180,393,2942,4049,1809,333
1/1/63,256,3358,1875,1521,17668,1936,2727,798,483,5628,4172,682,2747,683,10402,4799,2217,3096,3377,5344,3386,993,8058,3531,4392,2244,703,4742,644,1476,649,6531,989,397,17461,9986,2439,1853,11424,876,2460,708,3718,10159,974,4276,397,2955,4112,1796,336
1/1/64,263,3395,1897,1556,18151,1970,2798,798,497,5781,4258,700,2746,680,10580,4856,2209,3129,3446,5448,3492,993,8187,3558,4442,2241,706,4802,649,1482,663,6660,1006,426,17589,10080,2446,1888,11519,885,2475,701,3771,10270,978,4357,399,2961,4165,1797,339
1/1/65,271,3443,1894,1584,18585,1985,2857,797,507,5954,4332,704,2742,686,10693,4922,2206,3140,3496,5502,3600,997,8357,3592,4467,2246,706,4863,649,1471,676,6767,1012,444,17734,10201,2440,1937,11620,893,2494,692,3798,10378,994,4411,404,2967,4232,1786,332
1/1/66,271,3464,1899,1614,18858,2007,2903,791,516,6104,4379,710,2762,689,10836,4999,2200,3147,3550,5535,3695,999,8512,3617,4523,2245,707,4896,647,1456,681,6851,1007,446,17843,10330,2454,1969,11664,899,2520,683,3822,10492,1009,4456,413,3057,4274,1775,323
1/1/67,278,3458,1901,1646,19176,2053,2935,791,525,6242,4408,723,2793,688,10947,5053,2197,3172,3581,5594,3757,1004,8630,3659,4539,2228,701,4952,626,1457,697,6928,1000,449,17935,10414,2489,1979,11681,909,2533,671,3859,10599,1019,4508,423,3174,4303,1769,322
1/1/68,285,3446,1902,1682,19394,2120,2964,778,534,6433,4482,734,2803,695,10995,5093,2216,3195,3603,5618,3815,994,8696,3703,4568,2219,700,5004,621,1467,709,7005,994,464,18051,10516,2503,2004,11741,922,2559,669,3878,10819,1029,4558,430,3270,4345,1763,324
1/1/69,296,3440,1913,1737,19711,2166,3000,762,540,6641,4551,750,2805,707,11039,5143,2236,3198,3619,5650,3868,992,8781,3758,4640,2220,694,5031,621,1474,724,7095,1011,480,18105,10563,2535,2062,11741,932,2570,668,3897,11045,1047,4614,437,3343,4378,1746,329
1/1/70,302.583,3444.354,1923.322,1775.399,19971.069,2209.596,3032.217,756.668,548.104,6791.418,4587.93,769.913,2825.368,713.015,11110.285,5195.392,2249.071,3220.711,3644.637,5689.17,3923.897,993.722,8881.826,3806.103,4677.623,2216.994,694.409,5084.411,617.792,1485.333,737.681,7171.112,1017.055,488.738,18241.391,10657.423,2559.463,2091.533,11800.766,949.723,2590.713,666.257,3926.018,11198.655,1059.273,4651.448,444.732,3413.244,4417.821,1744.237,332.416
1/1/71,315.51,3497.076,1972.312,1895.814,20345.939,2303.524,3060.938,749.781,564.708,7158.304,4711.55,801.644,2851.705,738.753,11202.397,5253.396,2246.6,3298.053,3710.487,5737.58,4018.324,1015.39,8974.186,3853.486,4725.764,2265.432,710.814,5203.531,626.76,1504.604,761.851,7281.107,1053.737,520.018,18357.982,10734.818,2618.601,2151.022,11886.4,963.107,2662.269,671.297,4013.608,11509.848,1101.192,4750.838,454.318,3447.553,4462.155,1770.657,340.285
1/1/72,324.464,3539.4,2018.638,2008.291,20585.469,2404.619,3068.699,742.241,572.913,7511.463,4809.49,828.331,2860.287,763.237,11251.948,5302.435,2256.375,3335.728,3761.646,5760.302,4073.499,1034.292,9028.944,3869.747,4758.78,2307.117,718.732,5301.15,631.119,1519.013,781.107,7335.042,1078.697,546.789,18339.4,10746.993,2658.646,2197.297,11908.233,974.79,2719.197,677.234,4094.611,11759.148,1135.449,4824.472,463.143,3447.885,4502.412,1797.648,347.345
1/1/73,330.543,3579.78,2059.256,2124.438,20868.728,2495.868,3067.814,731.488,577.759,7913.696,4910.374,851.595,2863.715,782.074,11251.367,5338.277,2265.603,3371.024,3788.375,5781.172,4097.974,1045.655,9077.956,3889.332,4782.645,2349.546,726.798,5389.852,632.675,1529.567,800.951,7333.083,1105.529,568.991,18177.063,10767.314,2695.931,2241.932,11890.527,975.738,2776.605,678.715,4147.401,12019.543,1170.04,4901.292,468.43,3478.782,4524.244,1806.36,354.061
1/1/74,341.063,3626.499,2101.403,2223.196,21173.865,2541.406,3074.047,717.947,581.418,8298.762,4999.419,867.978,2867.53,807.99,11262.145,5361.89,2269.499,3416.315,3820.109,5773.548,4118.815,1059.04,9117.507,3903.925,4795.93,2378.268,736.419,5470.911,634.559,1539.191,815.914,7332.411,1131.309,596.822,18049.775,10765.759,2734.768,2285.013,11870.884,950.615,2844.749,679.585,4213.509,12268.629,1200.471,4971.069,473.002,3549.946,4545.782,1815.447,365.501
1/1/75,376.17,3678.814,2159.526,2284.847,21537.849,2586.192,3082.5,706.871,586.589,8518.422,5064.075,886.16,2880.847,831.982,11291.743,5365.766,2280.578,3467.769,3886.104,5757.756,4139.096,1071.995,9117.668,3932.515,4808.308,2399.449,748.208,5547.188,638.886,1543.117,828.555,7337.765,1159.944,619.972,18003.485,10770.425,2774.683,2329.661,11906.095,942.788,2902.028,681.042,4275.566,12568.843,1236.03,5047.395,479.713,3621.339,4578.986,1842.25,381.695
1/1/76,400.969,3735.139,2170.161,2346.157,21935.909,2632.306,3083.335,692.295,590.166,8667.379,5132.812,904.191,2903.082,856.983,11342.853,5389.088,2301.001,3529.257,3950.605,5743.672,4150.539,1088.412,9129.205,3964.68,4839.029,2429.756,757.317,5607.964,645.797,1550.911,845.248,7339.745,1189.295,646.975,17940.541,10752.662,2826.815,2378.262,11897.378,946.089,2943.657,686.39,4346.928,12904.089,1274.928,5121.863,484.928,3693.61,4595.904,1879.503,396.952
1/1/77,403.436,3780.403,2209.01,2425.197,22352.396,2696.14,3085.722,677.228,591.829,8856.183,5219.697,918.259,2913.573,883.469,11386.316,5425.638,2320.647,3573.693,4014.459,5738.199,4169.595,1103.578,9171.11,3989.364,4863.173,2459.201,769.953,5685.607,649.769,1556.842,869.763,7337.169,1215.72,678.333,17812.602,10771.394,2870.014,2446.673,11893.591,950.23,2991.681,688.48,4422.921,13193.05,1319.512,5193.112,491.931,3776.05,4626.514,1908.088,413.354
1/1/78,404.766,3831.836,2243.127,2515.316,22835.958,2766.748,3091.627,665.052,594.776,9102.032,5295.751,931.584,2918.069,910.69,11412.561,5470.214,2335.657,3609.976,4068.579,5736.469,4183.603,1113.566,9217.761,4015.341,4889.399,2487.816,782.317,5759.492,651.301,1563.884,891.52,7350.804,1238.034,719.436,17680.589,10795.581,2917.336,2518.298,11879.396,951.816,3044.364,688.58,4486.314,13500.429,1367.51,5270.24,498.109,3889.073,4646.108,1923.395,432.88
1/1/79,402.753,3866.248,2271.333,2635.571,23256.88,2849.234,3095.917,650.016,594.984,9426.159,5401.384,953.306,2915.739,932.627,11396.837,5501.174,2350.906,3641.804,4137.665,5738.404,4191.16,1122.563,9266.268,4050.316,4912.43,2507.069,787.305,5823.491,652.896,1567.344,909.074,7366.512,1284.722,765.367,17583.838,10798.298,2975.31,2588.012,11887.975,950.382,3090.267,688.335,4560.473,13888.371,1420.238,5307.945,505.372,4017.632,4682.811,1942.146,454.378
1/1/80,405.315,3900.368,2288.738,2737.774,23800.8,2908.803,3113.174,638.284,594.919,9839.835,5486.174,967.71,2914.018,947.983,11434.702,5490.721,2369.039,3664.221,4223.101,5746.075,4227.643,1126.86,9255.553,4085.017,4921.966,2525.342,788.752,5898.98,654.38,1572.296,924.25,7376.33,1309.4,810.215,17566.754,10800.65,3040.758,2641.218,11868.305,948.773,3134.502,690.851,4600.252,14338.208,1472.595,5368.334,512.524,4154.678,4712.045,1951.349,474.185
1/1/81,418.491,3918.531,2293.201,2810.107,24285.933,2977.898,3128.836,636.893,595.975,10192.774,5568.345,978.195,2907.983,962.204,11443.458,5480.435,2384.849,3670.394,4283.303,5768.685,4261.905,1133.033,9209.287,4111.728,4932.064,2539.036,795.328,5956.653,659.505,1578.515,936.621,7407.472,1332.748,847.655,17567.734,10788.33,3096.164,2667.982,11858.567,953.013,3179.255,689.584,4627.658,14746.318,1515.471,5444.097,515.594,4235.731,4726.343,1954.124,491.712
1/1/82,449.606,3925.266,2294.257,2889.861,24820.009,3061.564,3139.013,634.174,599.148,10471.407,5649.792,993.78,2888.189,973.721,11423.412,5467.922,2401.202,3683.445,4352.608,5771.222,4282.923,1136.684,9115.198,4131.45,4929.451,2556.777,803.986,6019.101,668.972,1581.78,947.719,7430.968,1363.823,881.537,17589.738,10757.087,3206.123,2664.922,11845.146,954.17,3207.614,690.597,4646.041,15331.415,1558.314,5492.783,519.109,4276.552,4728.87,1949.604,506.4
